video_frame,video_pts_s,stand_idx,flash,src
0,0.000000,1906,0,GX015612.MP4
1,0.033367,1911,0,GX015612.MP4
2,0.066733,1915,0,GX015612.MP4
3,0.100100,1920,0,GX015612.MP4
4,0.133467,1924,0,GX015612.MP4
5,0.166833,1929,0,GX015612.MP4
6,0.200200,1934,0,GX015612.MP4
7,0.233567,1939,0,GX015612.MP4
8,0.266933,1944,0,GX015612.MP4
9,0.300300,1949,0,GX015612.MP4
10,0.333667,1953,0,GX015612.MP4
11,0.367033,1957,0,GX015612.MP4
12,0.400400,1963,0,GX015612.MP4
13,0.433767,1969,0,GX015612.MP4
14,0.467133,1974,0,GX015612.MP4
15,0.500500,1978,0,GX015612.MP4
16,0.533867,1982,0,GX015612.MP4
17,0.567233,1985,0,GX015612.MP4
18,0.600600,1989,0,GX015612.MP4
19,0.633967,,0,GX015612.MP4
20,0.667333,1998,0,GX015612.MP4
21,0.700700,2003,0,GX015612.MP4
22,0.734067,,0,GX015612.MP4
23,0.767433,2013,0,GX015612.MP4
24,0.800800,2019,0,GX015612.MP4
25,0.834167,2025,0,GX015612.MP4
26,0.867533,2029,0,GX015612.MP4
27,0.900900,2033,0,GX015612.MP4
28,0.934267,2037,0,GX015612.MP4
29,0.967633,,0,GX015612.MP4
30,1.001000,2046,0,GX015612.MP4
31,1.034367,2050,0,GX015612.MP4
32,1.067733,,0,GX015612.MP4
33,1.101100,2058,0,GX015612.MP4
34,1.134467,2061,0,GX015612.MP4
35,1.167833,2064,0,GX015612.MP4
36,1.201200,2068,0,GX015612.MP4
37,1.234567,2072,0,GX015612.MP4
38,1.267933,2074,0,GX015612.MP4
39,1.301300,2075,0,GX015612.MP4
40,1.334667,2078,0,GX015612.MP4
41,1.368033,2082,0,GX015612.MP4
42,1.401400,2084,0,GX015612.MP4
43,1.434767,,0,GX015612.MP4
44,1.468133,,0,GX015612.MP4
45,1.501500,,0,GX015612.MP4
46,1.534867,2103,0,GX015612.MP4
47,1.568233,2108,0,GX015612.MP4
48,1.601600,,0,GX015612.MP4
49,1.634967,,0,GX015612.MP4
50,1.668333,2124,0,GX015612.MP4
51,1.701700,,0,GX015612.MP4
52,1.735067,2135,0,GX015612.MP4
53,1.768433,2141,0,GX015612.MP4
54,1.801800,2146,0,GX015612.MP4
55,1.835167,2152,0,GX015612.MP4
56,1.868533,,0,GX015612.MP4
57,1.901900,2163,0,GX015612.MP4
58,1.935267,2168,0,GX015612.MP4
59,1.968633,2171,0,GX015612.MP4
60,2.002000,2175,0,GX015612.MP4
61,2.035367,2179,0,GX015612.MP4
62,2.068733,2183,0,GX015612.MP4
63,2.102100,2187,0,GX015612.MP4
64,2.135467,,0,GX015612.MP4
65,2.168833,,0,GX015612.MP4
66,2.202200,2198,0,GX015612.MP4
67,2.235567,2203,0,GX015612.MP4
68,2.268933,2207,0,GX015612.MP4
69,2.302300,2210,0,GX015612.MP4
70,2.335667,,0,GX015612.MP4
71,2.369033,2220,0,GX015612.MP4
72,2.402400,,0,GX015612.MP4
73,2.435767,2231,0,GX015612.MP4
74,2.469133,2235,0,GX015612.MP4
75,2.502500,2240,0,GX015612.MP4
76,2.535867,2244,0,GX015612.MP4
77,2.569233,2248,0,GX015612.MP4
78,2.602600,,0,GX015612.MP4
79,2.635967,2258,0,GX015612.MP4
80,2.669333,2264,0,GX015612.MP4
81,2.702700,2268,0,GX015612.MP4
82,2.736067,2273,0,GX015612.MP4
83,2.769433,2276,0,GX015612.MP4
