video_frame,video_pts_s,stand_idx,flash,src
0,0.000000,,0,GX015579.MP4
1,0.016683,,0,GX015579.MP4
2,0.033367,,0,GX015579.MP4
3,0.050050,,0,GX015579.MP4
4,0.066733,,0,GX015579.MP4
5,0.083417,,0,GX015579.MP4
6,0.100100,,0,GX015579.MP4
7,0.116783,,0,GX015579.MP4
8,0.133467,,0,GX015579.MP4
9,0.150150,,0,GX015579.MP4
10,0.166833,,0,GX015579.MP4
11,0.183517,,0,GX015579.MP4
12,0.200200,,0,GX015579.MP4
13,0.216883,,0,GX015579.MP4
14,0.233567,,0,GX015579.MP4
15,0.250250,,0,GX015579.MP4
16,0.266933,,0,GX015579.MP4
17,0.283617,,0,GX015579.MP4
18,0.300300,,0,GX015579.MP4
19,0.316983,,0,GX015579.MP4
20,0.333667,,0,GX015579.MP4
21,0.350350,,0,GX015579.MP4
22,0.367033,,0,GX015579.MP4
23,0.383717,,0,GX015579.MP4
24,0.400400,,0,GX015579.MP4
25,0.417083,,0,GX015579.MP4
26,0.433767,,0,GX015579.MP4
27,0.450450,,0,GX015579.MP4
28,0.467133,,0,GX015579.MP4
29,0.483817,,0,GX015579.MP4
30,0.500500,,0,GX015579.MP4
31,0.517183,,0,GX015579.MP4
32,0.533867,,0,GX015579.MP4
33,0.550550,,0,GX015579.MP4
34,0.567233,,0,GX015579.MP4
35,0.583917,,0,GX015579.MP4
36,0.600600,,0,GX015579.MP4
37,0.617283,,0,GX015579.MP4
38,0.633967,,0,GX015579.MP4
39,0.650650,,0,GX015579.MP4
40,0.667333,,0,GX015579.MP4
41,0.684017,,0,GX015579.MP4
42,0.700700,,0,GX015579.MP4
43,0.717383,,0,GX015579.MP4
44,0.734067,,0,GX015579.MP4
45,0.750750,,0,GX015579.MP4
46,0.767433,,0,GX015579.MP4
47,0.784117,,0,GX015579.MP4
48,0.800800,,0,GX015579.MP4
49,0.817483,,0,GX015579.MP4
50,0.834167,,0,GX015579.MP4
51,0.850850,,0,GX015579.MP4
52,0.867533,,0,GX015579.MP4
53,0.884217,,0,GX015579.MP4
54,0.900900,,0,GX015579.MP4
55,0.917583,,0,GX015579.MP4
56,0.934267,,0,GX015579.MP4
57,0.950950,,0,GX015579.MP4
58,0.967633,,0,GX015579.MP4
59,0.984317,,0,GX015579.MP4
60,1.001000,,0,GX015579.MP4
61,1.017683,,0,GX015579.MP4
62,1.034367,,0,GX015579.MP4
63,1.051050,,0,GX015579.MP4
64,1.067733,,0,GX015579.MP4
65,1.084417,,0,GX015579.MP4
66,1.101100,,0,GX015579.MP4
67,1.117783,,0,GX015579.MP4
68,1.134467,,0,GX015579.MP4
69,1.151150,,0,GX015579.MP4
70,1.167833,,0,GX015579.MP4
71,1.184517,,0,GX015579.MP4
72,1.201200,,0,GX015579.MP4
73,1.217883,,0,GX015579.MP4
74,1.234567,,0,GX015579.MP4
75,1.251250,,0,GX015579.MP4
76,1.267933,,0,GX015579.MP4
77,1.284617,,0,GX015579.MP4
78,1.301300,,0,GX015579.MP4
79,1.317983,,0,GX015579.MP4
80,1.334667,,0,GX015579.MP4
81,1.351350,,0,GX015579.MP4
82,1.368033,,0,GX015579.MP4
83,1.384717,,0,GX015579.MP4
84,1.401400,,0,GX015579.MP4
85,1.418083,,0,GX015579.MP4
86,1.434767,,0,GX015579.MP4
87,1.451450,,0,GX015579.MP4
88,1.468133,,0,GX015579.MP4
89,1.484817,,0,GX015579.MP4
90,1.501500,,0,GX015579.MP4
91,1.518183,,0,GX015579.MP4
92,1.534867,,0,GX015579.MP4
93,1.551550,,0,GX015579.MP4
94,1.568233,,0,GX015579.MP4
95,1.584917,,0,GX015579.MP4
96,1.601600,,0,GX015579.MP4
97,1.618283,,0,GX015579.MP4
98,1.634967,,0,GX015579.MP4
99,1.651650,,0,GX015579.MP4
100,1.668333,,0,GX015579.MP4
101,1.685017,,0,GX015579.MP4
102,1.701700,,0,GX015579.MP4
103,1.718383,,0,GX015579.MP4
104,1.735067,,0,GX015579.MP4
105,1.751750,,0,GX015579.MP4
106,1.768433,,0,GX015579.MP4
107,1.785117,,0,GX015579.MP4
108,1.801800,,0,GX015579.MP4
109,1.818483,,0,GX015579.MP4
110,1.835167,,0,GX015579.MP4
111,1.851850,,0,GX015579.MP4
112,1.868533,,0,GX015579.MP4
113,1.885217,,0,GX015579.MP4
114,1.901900,,0,GX015579.MP4
115,1.918583,,0,GX015579.MP4
116,1.935267,,0,GX015579.MP4
117,1.951950,,0,GX015579.MP4
118,1.968633,,0,GX015579.MP4
119,1.985317,,0,GX015579.MP4
120,2.002000,,0,GX015579.MP4
121,2.018683,,0,GX015579.MP4
122,2.035367,,0,GX015579.MP4
123,2.052050,,0,GX015579.MP4
124,2.068733,,0,GX015579.MP4
125,2.085417,,0,GX015579.MP4
126,2.102100,,0,GX015579.MP4
127,2.118783,,0,GX015579.MP4
128,2.135467,,0,GX015579.MP4
129,2.152150,,0,GX015579.MP4
130,2.168833,,0,GX015579.MP4
131,2.185517,,0,GX015579.MP4
132,2.202200,,0,GX015579.MP4
133,2.218883,,0,GX015579.MP4
134,2.235567,,0,GX015579.MP4
135,2.252250,,0,GX015579.MP4
136,2.268933,,0,GX015579.MP4
137,2.285617,,0,GX015579.MP4
138,2.302300,,0,GX015579.MP4
139,2.318983,,0,GX015579.MP4
140,2.335667,,0,GX015579.MP4
141,2.352350,,0,GX015579.MP4
142,2.369033,,0,GX015579.MP4
143,2.385717,,0,GX015579.MP4
144,2.402400,,0,GX015579.MP4
145,2.419083,,0,GX015579.MP4
146,2.435767,,0,GX015579.MP4
147,2.452450,,0,GX015579.MP4
148,2.469133,,0,GX015579.MP4
149,2.485817,,0,GX015579.MP4
150,2.502500,,0,GX015579.MP4
151,2.519183,,0,GX015579.MP4
152,2.535867,,0,GX015579.MP4
153,2.552550,,0,GX015579.MP4
154,2.569233,,0,GX015579.MP4
155,2.585917,,0,GX015579.MP4
156,2.602600,,0,GX015579.MP4
157,2.619283,,0,GX015579.MP4
158,2.635967,,0,GX015579.MP4
159,2.652650,,0,GX015579.MP4
160,2.669333,,0,GX015579.MP4
161,2.686017,,0,GX015579.MP4
162,2.702700,,0,GX015579.MP4
163,2.719383,,0,GX015579.MP4
164,2.736067,,0,GX015579.MP4
165,2.752750,,0,GX015579.MP4
166,2.769433,,0,GX015579.MP4
167,2.786117,,0,GX015579.MP4
168,2.802800,,0,GX015579.MP4
169,2.819483,,0,GX015579.MP4
170,2.836167,,0,GX015579.MP4
171,2.852850,,0,GX015579.MP4
172,2.869533,,0,GX015579.MP4
173,2.886217,,0,GX015579.MP4
174,2.902900,,0,GX015579.MP4
