video_frame,video_pts_s,stand_idx,flash,src
0,0.000000,,0,GX015580.MP4
1,0.016683,2959,0,GX015580.MP4
2,0.033367,,0,GX015580.MP4
3,0.050050,2965,0,GX015580.MP4
4,0.066733,,0,GX015580.MP4
5,0.083417,2971,0,GX015580.MP4
6,0.100100,,0,GX015580.MP4
7,0.116783,2977,0,GX015580.MP4
8,0.133467,2981,0,GX015580.MP4
9,0.150150,2981,0,GX015580.MP4
10,0.166833,2986,0,GX015580.MP4
11,0.183517,2986,0,GX015580.MP4
12,0.200200,,0,GX015580.MP4
13,0.216883,2992,0,GX015580.MP4
14,0.233567,,0,GX015580.MP4
15,0.250250,2998,0,GX015580.MP4
16,0.266933,3005,0,GX015580.MP4
17,0.283617,3005,0,GX015580.MP4
18,0.300300,,0,GX015580.MP4
19,0.316983,3011,0,GX015580.MP4
20,0.333667,3016,0,GX015580.MP4
21,0.350350,3016,0,GX015580.MP4
22,0.367033,,0,GX015580.MP4
23,0.383717,3022,0,GX015580.MP4
24,0.400400,3029,0,GX015580.MP4
25,0.417083,3029,0,GX015580.MP4
26,0.433767,,0,GX015580.MP4
27,0.450450,3035,0,GX015580.MP4
28,0.467133,,0,GX015580.MP4
29,0.483817,3041,0,GX015580.MP4
30,0.500500,,0,GX015580.MP4
31,0.517183,3046,0,GX015580.MP4
32,0.533867,3052,0,GX015580.MP4
33,0.550550,3052,0,GX015580.MP4
34,0.567233,,0,GX015580.MP4
35,0.583917,3058,0,GX015580.MP4
36,0.600600,3065,0,GX015580.MP4
37,0.617283,3065,0,GX015580.MP4
38,0.633967,3071,0,GX015580.MP4
39,0.650650,3071,0,GX015580.MP4
40,0.667333,,0,GX015580.MP4
41,0.684017,3077,0,GX015580.MP4
42,0.700700,3082,0,GX015580.MP4
43,0.717383,3082,0,GX015580.MP4
44,0.734067,,0,GX015580.MP4
45,0.750750,3089,0,GX015580.MP4
46,0.767433,3095,0,GX015580.MP4
47,0.784117,3095,0,GX015580.MP4
48,0.800800,,0,GX015580.MP4
49,0.817483,3101,0,GX015580.MP4
50,0.834167,3107,0,GX015580.MP4
51,0.850850,3107,0,GX015580.MP4
52,0.867533,3113,0,GX015580.MP4
53,0.884217,3113,0,GX015580.MP4
54,0.900900,3119,0,GX015580.MP4
55,0.917583,3119,0,GX015580.MP4
56,0.934267,3124,0,GX015580.MP4
57,0.950950,3124,0,GX015580.MP4
58,0.967633,3131,0,GX015580.MP4
59,0.984317,3131,0,GX015580.MP4
60,1.001000,3137,0,GX015580.MP4
61,1.017683,3137,0,GX015580.MP4
62,1.034367,3142,0,GX015580.MP4
63,1.051050,3142,0,GX015580.MP4
64,1.067733,3149,0,GX015580.MP4
65,1.084417,3149,0,GX015580.MP4
66,1.101100,3155,0,GX015580.MP4
67,1.117783,3155,0,GX015580.MP4
68,1.134467,3160,0,GX015580.MP4
69,1.151150,3160,0,GX015580.MP4
70,1.167833,3166,0,GX015580.MP4
71,1.184517,3166,0,GX015580.MP4
72,1.201200,3173,0,GX015580.MP4
73,1.217883,3173,0,GX015580.MP4
74,1.234567,3179,0,GX015580.MP4
75,1.251250,3179,0,GX015580.MP4
76,1.267933,3184,0,GX015580.MP4
77,1.284617,3184,0,GX015580.MP4
78,1.301300,3190,0,GX015580.MP4
79,1.317983,3190,0,GX015580.MP4
80,1.334667,3196,0,GX015580.MP4
81,1.351350,3196,0,GX015580.MP4
