video_frame,video_pts_s,stand_idx,flash,src
82,1.368033,3202,0,GX015580.MP4
83,1.384717,3202,0,GX015580.MP4
84,1.401400,3208,0,GX015580.MP4
85,1.418083,3208,0,GX015580.MP4
86,1.434767,3214,0,GX015580.MP4
87,1.451450,3214,0,GX015580.MP4
88,1.468133,3221,0,GX015580.MP4
89,1.484817,3221,0,GX015580.MP4
90,1.501500,3227,0,GX015580.MP4
91,1.518183,3227,0,GX015580.MP4
92,1.534867,3232,0,GX015580.MP4
93,1.551550,3232,0,GX015580.MP4
94,1.568233,3238,0,GX015580.MP4
95,1.584917,3238,0,GX015580.MP4
96,1.601600,3245,0,GX015580.MP4
97,1.618283,3245,0,GX015580.MP4
98,1.634967,3251,0,GX015580.MP4
99,1.651650,3251,0,GX015580.MP4
100,1.668333,3257,0,GX015580.MP4
101,1.685017,3257,0,GX015580.MP4
102,1.701700,3263,0,GX015580.MP4
103,1.718383,3263,0,GX015580.MP4
104,1.735067,3268,0,GX015580.MP4
105,1.751750,3268,0,GX015580.MP4
106,1.768433,3274,0,GX015580.MP4
107,1.785117,3274,0,GX015580.MP4
108,1.801800,3280,0,GX015580.MP4
109,1.818483,3280,0,GX015580.MP4
110,1.835167,3287,0,GX015580.MP4
111,1.851850,3287,0,GX015580.MP4
112,1.868533,3292,0,GX015580.MP4
113,1.885217,3292,0,GX015580.MP4
114,1.901900,3298,0,GX015580.MP4
115,1.918583,3298,0,GX015580.MP4
116,1.935267,3305,0,GX015580.MP4
117,1.951950,3305,0,GX015580.MP4
118,1.968633,3311,0,GX015580.MP4
119,1.985317,3311,0,GX015580.MP4
120,2.002000,3317,0,GX015580.MP4
121,2.018683,3317,0,GX015580.MP4
122,2.035367,3323,0,GX015580.MP4
123,2.052050,3323,0,GX015580.MP4
124,2.068733,3329,0,GX015580.MP4
125,2.085417,3329,0,GX015580.MP4
126,2.102100,3334,0,GX015580.MP4
127,2.118783,3334,0,GX015580.MP4
128,2.135467,3341,0,GX015580.MP4
129,2.152150,3341,0,GX015580.MP4
130,2.168833,3347,0,GX015580.MP4
131,2.185517,3347,0,GX015580.MP4
132,2.202200,3353,0,GX015580.MP4
133,2.218883,3353,0,GX015580.MP4
134,2.235567,3359,0,GX015580.MP4
135,2.252250,3359,0,GX015580.MP4
136,2.268933,3364,0,GX015580.MP4
137,2.285617,3364,0,GX015580.MP4
138,2.302300,3369,0,GX015580.MP4
139,2.318983,3369,0,GX015580.MP4
140,2.335667,3375,0,GX015580.MP4
141,2.352350,3375,0,GX015580.MP4
142,2.369033,3381,0,GX015580.MP4
143,2.385717,3381,0,GX015580.MP4
144,2.402400,3386,0,GX015580.MP4
145,2.419083,3386,0,GX015580.MP4
146,2.435767,3392,0,GX015580.MP4
147,2.452450,3392,0,GX015580.MP4
148,2.469133,3398,0,GX015580.MP4
149,2.485817,3398,0,GX015580.MP4
150,2.502500,3403,0,GX015580.MP4
151,2.519183,3403,0,GX015580.MP4
152,2.535867,3409,0,GX015580.MP4
153,2.552550,3409,0,GX015580.MP4
154,2.569233,3416,0,GX015580.MP4
155,2.585917,3416,0,GX015580.MP4
156,2.602600,3422,0,GX015580.MP4
157,2.619283,3422,0,GX015580.MP4
158,2.635967,3427,0,GX015580.MP4
159,2.652650,3427,0,GX015580.MP4
160,2.669333,3433,0,GX015580.MP4
161,2.686017,3433,0,GX015580.MP4
162,2.702700,3439,0,GX015580.MP4
163,2.719383,3439,0,GX015580.MP4
164,2.736067,3445,0,GX015580.MP4
165,2.752750,3445,0,GX015580.MP4
166,2.769433,3451,0,GX015580.MP4
167,2.786117,3451,0,GX015580.MP4
168,2.802800,3455,0,GX015580.MP4
169,2.819483,3455,0,GX015580.MP4
170,2.836167,3461,0,GX015580.MP4
171,2.852850,3461,0,GX015580.MP4
172,2.869533,3466,0,GX015580.MP4
173,2.886217,3466,0,GX015580.MP4
174,2.902900,3471,0,GX015580.MP4
